Número do empenho;Ano de exercício;Categoria do empenho;Data do empenho;Histórico do empenho;Valor do empenho;Valor liquidado R$;Valor pago R$
 4052; 2025; PROCESSO; 10/06/2025; INSCRIÇÃO E CUSTEIO DE DESPESAS PARA PARTICIPAÇÃO NO XXXVII DO CONASEMS, CONFORME DOCUMENTO DE FORMALIZAÇÃO DE DEMANDA - DFD N 003/20225 EM ANEXO.; R$ 400,00; R$ 400,00; R$ 400,00
 3937; 2025; DIARIA; 03/06/2025;" REFERENTE A 5 + 1/2  (CINCO DIÁRIAS E MEIA ) DIÁRIAS A CIDADE DE BELO HORIZONTE MG.  PARTICIPAÇÃO E REALIZAÇÃO DOXXXVIII CONGRESSO DE CONSELHO NACIONAL DE SECRETARIA MUNICIPAL DE SAÚDE (CONASEMS). RD 1295/2025  
CONTA CORRENTE N. 576763191-0  BANCO: CAIXA  AG 0388"; R$ 2.750,00; R$ 2.750,00; R$ 2.750,00
 3936; 2025; DIARIA; 03/06/2025; REFERENTE A 5 + 1/2  (CINCO DIÁRIAS E MEIA ) DIÁRIAS A CIDADE DE BELO HORIZONTE MG.  PARTICIPAÇÃO E REALIZAÇÃO DOXXXVIII CONGRESSO DE CONSELHO NACIONAL DE SECRETARIA MUNICIPAL DE SAÚDE (CONASEMS). RD 1294/2025 CONTA CORRENTE N. 1025628-6  BANCO: SANTANDER  AG 4572; R$ 4.400,00; R$ 4.400,00; R$ 4.400,00
 3741; 2025; CREDOR; 28/05/2025; REPASSE DE RECURSO REFERENTE À REDE DE SAÚDE MENTAL - CAPS AD II. (REF. 2024); R$ 102.000,00; R$ 102.000,00; R$ 102.000,00
 3739; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 2.090,11; R$ 2.090,11; R$ 2.090,11
 3738; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 741.256,49; R$ 741.256,49; R$ 741.256,49
 3737; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 70.677,77; R$ 70.677,77; R$ 70.677,77
 3736; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 29.345,41; R$ 29.345,41; R$ 29.345,41
 3735; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 18.359,85; R$ 18.359,85; R$ 18.359,85
 3734; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 34.236,55; R$ 34.236,55; R$ 34.236,55
 3733; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 89.481,43; R$ 89.481,43; R$ 89.481,43
 3732; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.036,13; R$ 2.036,13; R$ 2.036,13
 3731; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 38.944,33; R$ 38.944,33; R$ 38.944,33
 3730; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 25.179,45; R$ 25.179,45; R$ 25.179,45
 3729; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 877.995,61; R$ 877.995,61; R$ 877.995,61
 3728; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 10.031,33; R$ 10.031,33; R$ 10.031,33
 3727; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 58.067,72; R$ 58.067,72; R$ 58.067,72
 3726; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 26.847,68; R$ 26.847,68; R$ 26.847,68
 3725; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 258.355,18; R$ 258.355,18; R$ 258.355,18
 3724; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 934.178,84; R$ 934.178,84; R$ 934.178,84
 3723; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 286.636,42; R$ 286.636,42; R$ 286.636,42
 3722; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 2.186,23; R$ 2.186,23; R$ 2.186,23
 3721; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.153,37; R$ 2.153,37; R$ 2.153,37
 3720; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 18.749,73; R$ 18.749,73; R$ 18.749,73
 3719; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 6.692,94; R$ 6.692,94; R$ 6.692,94
 3718; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 248.881,53; R$ 248.881,53; R$ 248.881,53
 3717; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 14.621,60; R$ 14.621,60; R$ 14.621,60
 3716; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 27.099,84; R$ 27.099,84; R$ 27.099,84
 3715; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 24.483,35; R$ 24.483,35; R$ 24.483,35
 3714; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 5.903,86; R$ 5.903,86; R$ 5.903,86
 3713; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 59.776,05; R$ 59.776,05; R$ 59.776,05
 3712; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 7.350,06; R$ 7.350,06; R$ 7.350,06
 3711; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 8.498,86; R$ 8.498,86; R$ 8.498,86
 3710; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 24.267,05; R$ 24.267,05; R$ 24.267,05
 3709; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 4.325,90; R$ 4.325,90; R$ 4.325,90
 3708; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 27.452,29; R$ 27.452,29; R$ 27.452,29
 3707; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 326.749,35; R$ 326.749,35; R$ 326.749,35
 3706; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 15.004,62; R$ 15.004,62; R$ 15.004,62
 3705; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 7.795,44; R$ 7.795,44; R$ 7.795,44
 3704; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 913,85; R$ 913,85; R$ 913,85
 3703; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 172.477,27; R$ 172.477,27; R$ 172.477,27
 3702; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 41.245,70; R$ 41.245,70; R$ 41.245,70
 3701; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 2.713,85; R$ 2.713,85; R$ 2.713,85
 3700; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 69.585,16; R$ 69.585,16; R$ 69.585,16
 3699; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 18.627,75; R$ 18.627,75; R$ 18.627,75
 3698; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 37.076,85; R$ 37.076,85; R$ 37.076,85
 3697; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 784.973,02; R$ 784.973,02; R$ 784.973,02
 3696; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 2.136,25; R$ 2.136,25; R$ 2.136,25
 3695; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 22.226,09; R$ 22.226,09; R$ 22.226,09
 3694; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 913,85; R$ 913,85; R$ 913,85
 3693; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 64.203,64; R$ 64.203,64; R$ 64.203,64
 3692; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 5.502,81; R$ 5.502,81; R$ 5.502,81
 3691; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 4.931,58; R$ 4.931,58; R$ 4.931,58
 3690; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 5/2025; R$ 4.626,62; R$ 4.626,62; R$ 4.626,62
 3689; 2025; FOLHA; 28/05/2025; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 5/2025; R$ 3.714,11; R$ 3.714,11; R$ 3.714,11
